Review,hasil_akhir,Sentimen
"permainan nya bagus banget, walaupun saya kurang enjoy gegara hp saya burik",main nya bagus banget walaupun kurang santai gara-gara ponsel burik,positif
bagus grafik nya hd gak maksa,bagus grafik nya hd tidak maksa,positif
keren,keren,positif
mantap,mantap,positif
Sekarang penurunan bingkai nya dah normal..... gak tutup paksa lagi dan suhu kembali normal,sekarang turun bingkai nya sudah normal tidak tutup paksa suhu normal,positif
"permainan bagus, permainan baik, permainan yang sangat menarik dan sangat seru",main bagus main baik main sangat tarik sangat seru,positif
gak ngebosenin seru misi2nya,tidak ngebosenin seru misi nya,positif
grafiknya gila banget seru deh tapi semoga kedepan ada bahasa indonesianya ya kuro jadi lebih menikmati jalan ceritanya,grafik gila banget seru deh moga depan bahasa indonesia kuro games jadi lebih nikmat jalan cerita,positif
permainan bagus,main bagus,positif
aku cinta pengembang nya🥰🥰,saya cinta kembang nya,positif
bilangin ke kuro makasih udah bikin permainan sebagus ini,bilang kuro games makasih sudah bikin main bagus,positif
"permainan pertama yang bikin saya tertarik dengan tema dunia terbuka, semoga untuk kedepannya permainan ini semakin berkembang dan berjalan secara lancar.",main pertama bikin tarik tema dunia buka moga depan main makin kembang jalan lancar,positif
"Dari semua dunia terbuka anime ini yg paling kusuka,. Dari mulai Grafik, cerita, karakter, permainan, hadiah, Sistem Gacha, dll,. Semua kekurangan di permainan dunia terbuka anime, di tutupi di sini,. mulai dari mudahnya bertani untuk mengembangkan karakter sampai eksplorasi, itu sangat dimudahkan,.",semua dunia buka anime yang paling suka mulai grafik cerita karakter main hadiah sistem gacha semua kurang main dunia buka anime tutup sini mulai mudah tan kembang karakter eksplorasi sangat mudah,positif
"gilaaaa bansosny ga usah ditanya, cerita ada banyak perkembangan bagus bet pas masuk black shores apalagi pas masuk rinascita gila absolute cinema 🙌,permainan satu ini sangat baik mendengarkan keluh kesah pemainny jadi saya kasih🌟5 untuk wuwa 🥶",gilaaaa bansosny tidak perlu tanya cerita banyak kembang bagus banget pas masuk black shores pas masuk rinascita gila absolute cema main satu sangat baik dengar keluh kesah pemainny jadi kasih wuthering waves,positif
"Solon Lee, tetep konsisten yaa",solon lee tetap konsisten ya,positif
"kecewa aku kuro, desain cantarella di nerf, tolong kembalikan cantarella seperti semula. tolong untuk versi global di bedakan dari server inti (China).",kecewa saya kuro games desain cantarella nerf kembali cantarella mula versi global beda server inti china,negatif
kasi bahasa indo tolong ... biar lebih mudah main nya,kasih bahasa indonesia biar lebih mudah main nya,negatif
"jujur menurut gua smua udh lengkap, ini permainan gua g pduli! mau itu GB nya besar atau kecil kalo itu termasuk berpengaruh terhadap permainan gua maklumi tapi banyak beberapa yang gua permasalahin contoh nya bahasa, ayo kuro klo emng bner² niat ingin memprbesar permainan ini coba lah kasih banyak bahasa nya ga semua orang bisa bhs Inggris mungkin kpd pemain windows lebih tepatnya karena mudah dalam terjemahan tapi lihat juga pemain seluler mereka beberapa kesusahan untuk menerjemahkan bhs transkripsi trsbut",jujur saya semua sudah lengkap main saya tidak peduli mau gb nya besar kecil kalaupun masuk pengaruh main saya maklum banyak beberapa saya permasalahin contoh nya bahasa ayo kuro games kalau emng benar niat memprbesar main coba lah kasih banyak bahasa nya tidak semua orang bahasa inggris mungkin kepada main windows lebih tepat mudah terjemah lihat main seluler beberapa susah terjemah bahasa transkripsi trsbut,negatif
"ini serius permainan sebagus ini gak ada transkripsi indonya, tolong bang tambahin gak bisa bahasa inggris",serius main bagus tidak transkripsi indonya abang tambah tidak bahasa inggris,negatif
semua akan di sensor pada waktunya hahah,semua sensor waktu hahah,negatif
"permainan ini memiliki grafik yang bagus dan animasi yang baik, serta secara keseluruhan ini sangat baik (dari permainan sebelah).",main milik grafik bagus animasi baik seluruh sangat baik main belah,positif
Bahasa Indonesia tolong diadakan dong. Dari 27 Akun WuWa saya akan saya berikan 5 Bintang semua jika ada transkripsi bahasa Indonesia.,bahasa indonesia ada dong akun wuthering waves ikan bintang semua transkripsi bahasa indonesia,negatif
mantap,mantap,positif
Bagus banget tapi males banget pas pembaruan eh ulang unduh :(,bagus banget malas banget pas baru eh ulang unduh,positif
"permainannya bagus, cuman berat banget buat dimainin padahal dah grafik sangat rendah dan semuanya. Lebih cepat panas dibandingkan dunia terbuka permainan lainnya. Dengan processor yang kuat mungkin bisa lebih nyaman main cuman sayang dengan yg dimiliki skrng blm bisa lanjut main.",main bagus cuman berat banget buat dimainin padahal sudah grafik sangat rendah semua lebih cepat panas banding dunia buka main lain processor kuat mungkin lebih nyaman main cuman sayang yang milik sekarang belum lanjut main,positif
"Dari segi grafik bagus, cerita lumayan, tapi tolong tambahin bantuan asterite lagi ya!",segi grafik bagus cerita lumayan tambah bantu asterite,positif
permainannya sangat bagus tapi yang bikin saya kesal yaitu setiap pembaruan semua data harus diunduh ulang. Ini yang menyebabkan saya kurang betah main permainan ini malas banget buat unduh data lagi mohon direspon👍,main sangat bagus bikin kesal baru semua data unduh ulang sebab kurang betah main main malas banget buat unduh data mohon direspon,positif
kuro emg terbaik,kuro games memang baik,positif
gim baik 😁👍,gim baik,positif
plagiat genshin jgn di pasang,plagiat genshin jangan pasang,negatif
masi lag padahal perangkat memadai,masih lag padahal perangkat pada,negatif
"woi pengembang, kembali belahan apem Cantarella 😹",woi kembang bahan apem cantarella,negatif
baik banget permainannya,baik banget main,positif
bagus banget grafik cerita semua bagus,bagus banget grafik cerita semua bagus,positif
aku suka permainan ini,saya suka main,positif
"permainan nya bagus, keseluruhan karakter, art style, map, dll itu sudah sempurna! tapi sudah berhenti main ini karena ga nyaman lagi ama permainan nya yang ceritanya itu jadi kurang jelas, terlebih lagi dimana hubungan mc tiba² langsung dekat sama karakter yang baru ketemu jadinya nya kan aneh. dan lagi yang bikin aku ga nyaman itu banyak sekali karakter perempuan nya, dan beberapa dari mereka itu pakaian nya terlalu terbuka, aku sebagai cewek main permainan ini ga nyaman banget liat karakterny. jd berhenti main",main nya bagus seluruh karakter art style map sempurna henti main tidak nyaman sama main nya cerita jadi kurang jelas lebih hubung karakter utama tiba langsung dekat sama karakter baru ketemu jadi nya kan aneh bikin saya tidak nyaman banyak sekali karakter perempuan nya beberapa pakai nya terlalu buka saya cewek main main tidak nyaman banget lihat karakterny jadi henti main,positif
Bagus,bagus,positif
baik banget dikasih guaranteed,baik banget kasih guaranteed,positif
ok tapi tambahin bahasa Indonesia,tambah bahasa indonesia,negatif
Bagus banget,bagus banget,positif
kerem,rem,positif
masih perlu optimisasi performa,perlu optimisasi performa,negatif
permainan bagus,main bagus,positif
"Saya senang ada isu bahasa Indonesia di permainan ini setelah pembaruan 1.1,,,namun tidak ada...tolonglah,,kami warga indonesia banyak yang tidak paham bahasa selain bahasa Indonesia 👃👃👃👃 Saya sudah memberi bintang 5,biar cepat ditanggapi ❤❤❤❤❤❤",senang isu bahasa indonesia main baru tolong warga indonesia banyak paham bahasa bahasa indonesia beri bintang biar cepat tanggap,negatif
sebenarnya saya GK bisa bahasa inggris pak,benar tidak bahasa inggris bapak,negatif
lambat dalam pengerjaan laporan,lambat kerja lapor,negatif
tolong tambahkan bahasa indonesia,tambah bahasa indonesia,negatif
mantab,mantap,positif
mantap bet cuy cerita nya grafik hd bet,mantap banget cuy cerita nya grafik hd banget,positif
gacor,gacor,positif
permainan keren cuy rekomendasi banget,main keren cuy rekomendasi banget,positif
ok,,positif
"permainan yang cocok, Semuanya sesuai untuk saya, pengembang nya juga sangat pengertian dengan pemain.dan tentu saja cocok untuk f2p,Main dari awal rilis sampai sekarang memang kerasa improvenya jauh banget sungguh absolute cinema banget animasinya.permainan bagus Wuthering Waves",main cocok semua sesuai kembang nya sangat erti main cocok f bapak main awal rilis sekarang memang rasa improvenya jauh banget sungguh absolute cema banget animasi main bagus wuthering waves,positif
permainan baik,main baik,positif
"sangat bagus, tapi tolong tambahkan transkripsi Indonesia.",sangat bagus tambah transkripsi indonesia,positif
mantap!!!!,mantap,positif
dapet bini jir,dapat istri jir,positif
⭐️⭐️⭐️⭐️⭐️emang layak bintang 5 permainan ni,memang pantas bintang main ini,positif
mantap gacha ku,mantap gacha ku,positif
tolong lahh kasih bahasa indo.. mw ngikutin cerita nya ga paham saya,lahh kasih bahasa indonesia mau ikut cerita nya tidak paham,negatif
"Optimalkan dulu performa di android, asli belum nyaman buat bersenang-senang permainannya di hp ,pdhl ni hp spesifikasi nya lebih dari cukup buat mainin ini permainan",optimal dulu performa android asli nyaman buat senang senang main ponsel padahal ini ponsel spesifikasi nya lebih cukup buat main main,negatif
sangat bagus sekali,sangat bagus sekali,positif
seru dan bikin saya semangat,seru bikin semangat,positif
permainan Baik🥰,main baik,positif
"Alhamdulillah, selepas pembaruan patch makin dibenerin bug ya, bagus min😍",alhamdulillah lepas baru patch makin benar bug bagus minimal,positif
permainan nya udah lancar cuman masalahnya itu sinyal nya merah terus (aku pake server SEA),main nya sudah lancar cuman masalah sinyal nya merah terus saya pakai server sea,positif
gua bingung cara bikin darahnya tempat dmna cari seharian ga nemu2,saya bingung cara bikin darah tempat mana cari hari tidak nemu,negatif
terbaik kk,baik kk,positif
"bismillah aku comeback, main dari awal rilis aku langsung uninstal karena gak mendukung bahasa indo dan lebih betah main permainan sebelah setelah denger wuwa sekarang lebih bagus jadi pengen main lagi semoga sesuai ekspetasi kedepannya semangat kuro",bismillah saya comeback main awal rilis saya langsung uninstal tidak dukung bahasa indonesia lebih betah main main belah dengar wuthering waves sekarang lebih bagus jadi ingin main moga sesuai ekspetasi depan semangat kuro games,negatif
keren,keren,positif
"penundaan, plus banyak kosakata yg diblokir",tunda plus banyak kosakata yang blokir,negatif
mantap.... grafik jernih parah... cerita nya gila... karakter nya sedap 🤤🤤 wajib unduh sih...,mantap grafik jernih parah cerita nya gila karakter nya sedap wajib unduh sih,positif
permainan Keren,main keren,positif
tolonglah adain languange indonesia setidaknya minimal 1gb an untuk apk ini dep pasti mendukung ama pemain,tolong adain languange indonesia minimal gb an apakah dep dukung sama main,negatif
mantap,mantap,positif
"Kapan lagi bisa maenin permainan gratis se wah gini, pengembang listened sangat pantas buat di mendukung sampai permainannya tutup",kapan maenin main gratis se wah begini kembang listened sangat pantas buat dukung main tutup,positif
"udh bagus cuma tolong buat in permainan signal nya lebih diperbaiki lagi, kadang kok sinyal gede bahkan Ampe 50mbps tapi pas in permainan naik turun bahkan kadang reconnect dlu, mohon kurogames",sudah bagus hanya buat in main signal nya lebih baik kadang kok sinyal besar bahkan sampai mbps pas in main naik turun bahkan kadang reconnect dulu mohon kurogames,negatif
"Bagus, sangat bisa dimainkan untuk casual pemain",bagus sangat main casual main,positif
"Dari segi permainan semuanya bagus banget, halus gak kaku, Dev nya dermawan pemain jadi tambah betah, jadinya rekomendasi banget sih",segi main semua bagus banget halus tidak kaku kembang nya dermawan main jadi tambah betah jadi rekomendasi banget sih,positif
grafik sebenarnya bagus... hero keren2.. bedalah sama sebelah.. awal maen soh ok aja. . tpi abis 2 pembaruan terakhir kok sering error jaringan.. ping tinggi.. trus ilang.. pengaturan ke low udah tpi tetap sama. bahkan ultra low.. mklum hp kentang kalik ya..,grafik benar bagus hero keren beda sama belah awal main soh saja tapi habis baru akhir kok sering error jaring ping tinggi terus ilang atur low sudah tapi tetap sama bahkan ultra low mklum ponsel kentang kalik,positif
permainan yang buat gua pensi permainan sebelah mantap,main buat saya pensi main belah mantap,positif
"dari semua segi juga dah bagus nih permainan,cuman sayangnya saya GK punya waktu banyak buat jelajahin world nya yg luas,pulang kerja cuman bisa daily doang abistuh ketiduran wowkkwkw",semua segi sudah bagus ini main cuman sayang tidak punya waktu banyak buat jelajahin world nya yang luas pulang kerja cuman daily aja abistuh tidur wowkkwkw,positif
bagus,bagus,positif
"Kuro, jangan turunkan rating umur ke 12+ dengan melakukan sensor",kuro games jangan turun rating umur laku sensor,negatif
"permainan nya bagus, dan tidak kikir kerja bagus kuro",main nya bagus kikir kerja bagus kuro games,positif
"tinggal optimasinya aja sih selebih nya udh bagus, btw banyakin bansos nya dong 😋😋😋😋",tinggal optimasinya saja sih lebih nya sudah bagus ngomong-ngomong banyakin bansos nya dong,positif
semoga bisa di bikin agak ringan permainan nya buat hape menengah range demam parah njir,moga bikin ringan main nya buat hape tengah range demam parah njir,positif
pembaruan kali ini sangat bagus cuma kekurangannya aja tolong tambahkan bahasa Indonesia di permainannya dan aku yakin bisa jadi permainan gacha terbaik,baru kali sangat bagus hanya kurang saja tambah bahasa indonesia main saya yakin jadi main gacha baik,positif
gacorrr kingggg!!!,gacorrr kingggg,positif
"No komen, intinya bagus ketagihan main permainan gini",no komen inti bagus tagih main main begini,positif
bagus,bagus,positif
"pertempurannya unik banget, pengalamanlorasi mudah gak perlu karakter limited, karakternya cakep2, worldnya indah, musiknya calming, baguslah intinya",tempur unik banget pengalamanlorasi mudah tidak perlu karakter limited karakter cakep worldnya indah musik calming bagus inti,positif
"permainan terbaik yang wajib dimainin, udh dimanjain sama pengembangnya, keluhan selalu didengar,bansos dalam permainan banyak.wajib dimainin wuthering waves nyesel kalo ga main dan wajib dikasih bintang 5",main baik wajib dimainin sudah dimanjain sama kembang keluh selalu dengar bansos main banyak wajib dimainin wuthering waves sesal kalaupun tidak main wajib kasih bintang,positif
seru ges,seru ges,positif
"untuk permainannya sendiri sangat rekomendasi. tapi saran saya, tolong kalau bisa tambahkan transkripsi untuk bahasa Indonesia. trimakasih...",main sendiri sangat rekomendasi saran kalau tambah transkripsi bahasa indonesia terima kasih,negatif
"permainan bagus, bos menantang genshin killer",main bagus bos tantang genshin killer,positif
"perlu optimalisasi lagi untuk perangkat lawas, seperti laptop tidak tahu kenapa berat sekali walau sudah pengaturan low dan banyak fitur off masih kena 90 Drajat Celsius di laptop gaming",perlu optimalisasi perangkat lawas laptop tahu berat sekali atur low banyak fitur off kena drajat celsius laptop gaming,negatif
Gua gaca dari 1.0 sampee 1.2 di banner terbatas selalu rate off.. hard pity.. dapat verina Mulu... Udah r3 verina gua..... Busuk amat gaca gua Tidak f2p friendly,saya gaca sampee banner batas selalu persentase off hard pity verina terus sudah r verina saya busuk gaca saya f bapak friendly,negatif
permainan bagus dan pengembangnya cepat dalam memperbaiki bug yg ada,main bagus kembang cepat baik bug yang,positif
tolong jika kita dapat rate on 2 kali pull berikut nya di kasih rate off kasian yg ampas dari awal rilis nggak pernah ngerasain rate off,persentase on kali pull ikut nya kasih persentase off kasihan yang ampas awal rilis pernah rasa persentase off,negatif
permainannya sudah bagus dan tolong di tambahkan bahasa Indonesia,main bagus tambah bahasa indonesia,positif
keren sekali permainan nya. saya takjub dengan permainannya. mohon segera hadirkan versi bahasa Indonesia nya biar orang2 makin banyak yang main permainan yang sangat the best epik ini.,keren sekali main nya takjub main mohon segera hadir versi bahasa indonesia nya biar orang makin banyak main main sangat the baik epik,positif
sangat bagus,sangat bagus,positif
permainan ini sangat bagus sayang nya🥲 permainan nya suka lag terus tutup paksa di HP saya ram 4gb padahal pengaturan nya udah paling rendah,main sangat bagus sayang nya main nya suka lag terus tutup paksa ponsel ram gb padahal atur nya sudah paling rendah,positif
"permainan nya bagus, melebihi ekspektasi saya ! btw kasih transkripsi Indonesia dong, Karena saya yakin banyak orang Indonesia yg kesulitan memahami alur cerita permainan ini seperti saya contohnya😭",main nya bagus lebih ekspektasi ngomong-ngomong kasih transkripsi indonesia dong yakin banyak orang indonesia yang sulit paham alur cerita main contoh,positif
"Mulai dari grafik yg bagus, cerita, dll itu udh jadi nilai plusnya. Semoga kuro menambahkan transkripsi Indonesianya, skrng udh mulai banyak Player yg dari Indo. transkripsi ini berguna bgt buat yg English Issue kyk gw 😹. Gw udh lumayan lama mainnya dri awal rilis waktu itu masih kurang optimal, dan perangkat masih kurang mampu mainin permainan ini. Dan akhirnya ke hapus awkwkowk. Tpi skrng bisa main dgn lancar semenjak akhir 2024. Tpi ini knp yah kok ratingnya 16+? 😹😹its okay lah moga makin maju lgi WuWa",mulai grafik yang bagus cerita sudah jadi nilai plus moga kuro games tambah transkripsi indonesia sekarang sudah mulai banyak main yang indonesia transkripsi guna begitu buat yang english isu seperti saya saya sudah lumayan lama main dari awal rilis waktu kurang optimal perangkat kurang mampu main main akhir hapus awkwkowk tapi sekarang main dengan lancar semenjak akhir tapi kenapa yah kok ratingnya its oke lah moga makin maju lagi wuthering waves,positif
"Saran aja untuk pengembang ya, unduh datanya bisa sambil latar belakang kan lebih enak supaya para Player tidak bosan unduh data",saran saja kembang unduh data latar belakang kan lebih enak main bosan unduh data,negatif
"maaf ya saya kasih bintang empat dulu :-D keseluruhan dari cerita dan permainan udah bagus, tapi ini cuma saya atau tidak tapi saya selalu reconnect mulu. padahal jaringan wifi rumah saya lancar aja, saya harap kurogames bisa memperbaiki masalah jaringan saya atau orang lain.",maaf kasih bintang empat dulu di seluruh cerita main sudah bagus hanya selalu reconnect terus padahal jaring wifi rumah lancar saja harap kurogames baik masalah jaring orang,negatif
pengalaman masih belum wah bagi saya,alam wah,negatif
"menurut saya kasih bintang 4 ya kuro, karena permainan ini sebenarnya dah bagus dari segi grafik sama ceritanya, cuma dari karakter cewe mohon di kasih bajunya lebih dan jangan terlalu vulgar karena banyak karakter di Wuthering waves ini di pakai dalam animasi atau permainan 18+.jadi tolong kurogames di kasih bajunya jangan terlalu vulgar ya🙏",kasih bintang kuro games main benar sudah bagus segi grafik sama cerita hanya karakter cewe mohon kasih baju lebih jangan terlalu vulgar banyak karakter wuthering waves pakai animasi main jadi kurogames kasih baju jangan terlalu vulgar,positif
"permainan nya bagus,dari segi grafik ataupun karakter nya bagus,sebenernya satu satunya alasan saya instal permainan ini karna buatan KURO,tapi lama kelamaan saya menikmati permainannya,hanya saja ada 2 hal yang agak sulit diterima dipermainan ini 1.cerita yang membosankan,jujur saja saya lwbih suka alur cerita di pgr daripada di wuwa 2.terlalu berat untuk dimainkan bahkan untuk low grafik,padahal di permainan seperti genshin,pgr,pubg dan lain lain saya memakai grafik high dan itu lancar jaya, penyimpanan pun masih 90+gb",main nya bagus segi grafik atau karakter nya bagus sebenernya satu satu alas instal main karena buat kuro games lama lama nikmat main sulit terima main cerita bosan jujur lwbih suka alur cerita pgr wuthering waves terlalu berat main bahkan low grafik padahal main genshin pgr pubg pakai grafik high lancar jaya simpan gb,positif
"perubahan desain karakter, menghilangkan detail karakter tindakan yang mengecewakan",ubah desain karakter hilang detail karakter tindak kecewa,negatif
Ini keren banget,keren banget,positif
terimakasih telah kasih saya camelya,terima kasih kasih camelya,positif
Dari segi kepuasan cerita harus bintang lima.. Minusnya cuma kurang bahasa Indonesia. Saya harap Kurogames bisa menambahkan bahasa ini untuk market di Indonesia,segi puas cerita bintang lima minus hanya kurang bahasa indonesia harap kurogames tambah bahasa market indonesia,positif
permainan jelek,main jelek,negatif
permainan terbaik👍,main baik,positif
keren,keren,positif
"kecewa desain caterlya sama fluderis, kesan bawahan malah terlihat seperti popok bayi 👎👎👎",kecewa desain caterlya sama fluderis kesan bawah malah lihat popok bayi,negatif
"keren bett buset absolut cinema jirr, lagu, cerita dan lain lain nya sempurna semangat kurogames GG",keren bett buset absolut cema jirr lagu cerita nya sempurna semangat kurogames gg,positif
"Abis pertarungan bos, bisa bisanya disuruh rating ✋😹🤚",habis tarung bos bisa suruh rating,negatif
"permainan baik, optimisasi nya juga makin berkembang",main baik optimisasi nya makin kembang,positif
grafisnya memukau,grafis pukau,positif
"sangat bagus, tapi perlu perangkat yang bagus untuk di main kan",sangat bagus perlu perangkat bagus main kan,positif
